"taxon","ELEMENT_GLOBAL_ID","indicator"
"Dicranum polysetum",683296,0
"Dicranum polysetum",683710,0
"Dicranum polysetum",683584,0
"Dicranum polysetum",684873,0
"Dicranum polysetum",686595,0
"Dicranum polysetum",892953,0
"Dicranum polysetum",931854,0
"Dicranum polysetum",948589,0
"Rhizomnium appalachianum",683900,0
"Rhizomnium appalachianum",683831,0
"Rhizomnium appalachianum",685735,0
"Rhizomnium appalachianum",689331,0
"Rhizomnium appalachianum",688193,0
"Rhizomnium appalachianum",686719,0
"Rhizomnium appalachianum",800161,0
"Rhizomnium appalachianum",899162,0
"Sphagnum wulfianum",688278,0
"Sphagnum cuspidatum",685006,0
"Sphagnum cuspidatum",687008,0
"Sphagnum cuspidatum",686123,0
"Sphagnum cuspidatum",686555,0
"Sphagnum cuspidatum",688846,0
"Sphagnum cuspidatum",688003,0
"Sphagnum cuspidatum",688511,0
"Sphagnum cuspidatum",689070,0
"Sphagnum cuspidatum",683516,0
"Sphagnum cuspidatum",721939,0
"Sphagnum cuspidatum",685339,0
"Sphagnum cuspidatum",683438,0
"Sphagnum cuspidatum",687359,0
"Sphagnum cuspidatum",731252,0
"Sphagnum cuspidatum",686954,0
"Sphagnum cuspidatum",902958,0
"Sphagnum cuspidatum",899521,0
"Sphagnum cuspidatum",899571,0
"Sphagnum cuspidatum",917080,0
"Philonotis tomentella",685274,0
"Philonotis tomentella",849164,0
"Philonotis tomentella",899164,0
"Philonotis tomentella",900073,0
"Philonotis tomentella",899110,0
"Mnium marginatum",686958,0
"Mnium marginatum",688522,0
"Sphagnum squarrosum",686403,0
"Sphagnum squarrosum",1176983,0
"Sphagnum squarrosum",1176987,0
"Sphagnum squarrosum",1361912,0
"Sphagnum squarrosum",1299044,0
"Bryum pseudotriquetrum",685175,0
"Bryum pseudotriquetrum",689052,0
"Bryum pseudotriquetrum",687808,0
"Bryum pseudotriquetrum",683904,0
"Bryum pseudotriquetrum",741266,0
