"taxon","ELEMENT_GLOBAL_ID","indicator"
"Ephedra",964267,1
"Ephedra",964273,1
"Ephedra",964270,1
"Ephedra",964282,1
"Ephedra",964276,1
"Ephedra",740265,1
"Ephedra",964279,1
"Ephedra",840571,1
"Ephedra",687514,1
"Ephedra",684775,1
"Ephedra",840568,1
"Ephedra",769074,1
"Ephedra",769039,1
"Ephedra",792298,1
"Ephedra",964261,1
"Ephedra",972137,1
"Ephedra",769080,1
"Ephedra",689223,1
"Ephedra",688538,1
"Ephedra",793506,1
"Ephedra",769145,1
"Ephedra",684318,1
"Ephedra",972058,1
"Ephedra",684516,1
"Ephedra",840584,1
"Ephedra",686042,1
"Ephedra",688880,1
"Ephedra",972850,1
"Ephedra",793478,1
"Ephedra",683136,1
"Ephedra",791954,1
"Ephedra",687897,1
"Ephedra",687075,1
"Ephedra",769105,1
"Ephedra",791994,1
"Ephedra",686490,1
"Ephedra",684302,1
"Ephedra",769027,1
"Ephedra",769035,1
"Ephedra",769077,1
"Ephedra",840574,1
"Ephedra",686271,1
