"acgenus","actaxon","acauth","taxon","auth"
"Frullania","Frullania winteri var. vanderhammenii","(Haarbrink) Yuzawa","Frullania winteri var. vanderhammenii","(Haarbrink) Yuzawa"
"Hygroamblystegium","Hygroamblystegium tenax","(Hedw.) Jenn.","Amblystegium orthocladon","(P.Beauv.) Macoun & Kindb."
"Chaetomitrium","Chaetomitrium ciliatum","Bosch & Sande Lac.","Chaetomitrium ciliatum","Bosch & Sande Lac."
"Pylaisiobryum","Pylaisiobryum abyssinicum","(Müll.Hal.) Cufod.","Pylaisiobryum abyssinicum","(Müll.Hal.) Cufod."
"Lepidozia","Lepidozia glaucescens","J.J.Engel","Lepidozia glaucescens","J.J.Engel"
"Targionia","Targionia hypophylla ssp. hypophylla","","Targionia hypophylla ssp. hypophylla",""
"Cyclodictyon","Cyclodictyon submarginatum","(Ångstr.) Kuntze","Cyclodictyon submarginatum","(Ångstr.) Kuntze"
"Cephaloziella","Cephaloziella verrucosa","Steph.","Cephaloziella verrucosa","Steph."
"Plagiochila","Plagiochila detecta","M.L.So & Grolle","Plagiochila detecta","M.L.So & Grolle"
"Schistochila","Schistochila exalata","Herzog","Schistochila exalata","Herzog"
"Solenostoma","Solenostoma hiugaense","Amakawa","Solenostoma hiugaense","Amakawa"
"Tortula","Tortula sublimbata","(Mitt.) Broth.","Tortula sublimbata","(Mitt.) Broth."
"Ectropotheciella","Ectropotheciella decrescens","(Sande Lac.) M.Fleisch.","Ectropotheciella decrescens","(Sande Lac.) M.Fleisch."
"Rhaphidostichum","Rhaphidostichum dubium","Dixon","Rhaphidostichum dubium","Dixon"
"Campylium","Campylium amblystegioides","Broth.","Campylium amblystegioides","Broth."
"Bazzania","Bazzania squarrosa","(Steph.) H.A.Mill.","Bazzania squarrosa","(Steph.) H.A.Mill."
"Physcomitrium","Physcomitrium hemisphaericum","Thér. & P.de la Varde","Physcomitrium hemisphaericum","Thér. & P.de la Varde"
"Leucoloma","Leucoloma subnigricaule","Dusén","Leucoloma subnigricaule","Dusén"
"Colura","Colura tixieri","Jovet-Ast","Colura tixieri","Jovet-Ast"
"Campylopus","Campylopus carolinae","Grout","Campylopus delicatulus var. carolinae","(Grout) Thér."
"Riccardia","Riccardia pengagensis","Hewson","Riccardia pengagensis","Hewson"
"Callicostella","Callicostella parvocellulata","Demaret & P.de la Varde","Callicostella parvocellulata","Demaret & P.de la Varde"
"Frullania","Frullania wairua","von Konrat & Braggins","Frullania wairua","von Konrat & Braggins"
"Aneura","Aneura densa","Steph.","Aneura densa","Steph."
"Symphysodon","Symphysodon neckeroides var. subneckeroides","(Broth.) B.C.Tan","Symphysodon neckeroides var. subneckeroides","(Broth.) B.C.Tan"
"Asterella","Asterella blumeana","(Nees) Kachroo","Asterella blumeana","(Nees) Kachroo"
"Distichium","Distichium capillaceum var. curvatum","Flowers","Distichium capillaceum var. curvatum","Flowers"
"Frullania","Frullania dentiloba","S.Hatt.","Frullania dentiloba","S.Hatt."
"Philonotis","Philonotis longiseta","(Michx.) E.Britton","Philonotis longiseta var. propagulaecaulis","Flowers"
"Frullania","Frullania setacea","S.Hatt.","Frullania setacea","S.Hatt."
"Dendroceros","Dendroceros subdifficilis","S.Hatt.","Dendroceros subdifficilis","S.Hatt."
"Hypnum","Hypnum resupinatum","Taylor","Hypnum resupinatum","Taylor"
"Lophocolea","Lophocolea bispinosa","(Hook.f. & Taylor) Gottsche, Lindenb. & Nees","Lophocolea bispinosa","(Hook.f. & Taylor) Gottsche, Lindenb. & Nees"
"Sphagnum","Sphagnum pulchrum","(Lindb.) Warnst.","Sphagnum pulchrum","(Lindb.) Warnst."
"Sematophyllum","Sematophyllum demissum","(Wilson) Mitt.","Sematophyllum demissum","(Wilson) Mitt."
"Lunularia","Lunularia cruciata","(L.) Dumort. ex Lindb.","Lunularia cruciata","(L.) Dumort. ex Lindb."
"Mnium","Mnium spinosum","(Voit) Schwägr.","Mnium spinosum","(Voit) Schwägr."
"Lejeunea","Lejeunea litoralis","Steph.","Lejeunea litoralis","Steph."
"Glossadelphus","Glossadelphus strictifolius","(Broth.) Broth.","Glossadelphus strictifolius","(Broth.) Broth."
"Zoopsis","Zoopsis liukiuensis","Horik.","Zoopsis liukiuensis","Horik."
"Acroporium","Acroporium aciphyllum","Dixon","Acroporium aciphyllum","Dixon"
"Calyptothecium","Calyptothecium hookeri","(Mitt.) Broth.","Calyptothecium hookeri","(Mitt.) Broth."
"Schlotheimia","Schlotheimia tecta","Hook. & Wilson","Schlotheimia tecta","Hook. & Wilson"
"Ectropothecium","Ectropothecium hyalinum","M.Fleisch.","Ectropothecium hyalinum","M.Fleisch."
"Hypopterygium","Hypopterygium flavolimbatum","Müll.Hal.","Hypopterygium flavolimbatum","Müll.Hal."
"Fissidens","Fissidens elongatus","Mitt.","Fissidens elongatus","Mitt."
"Racomitrium","Racomitrium patagonicum","Bedn.-Ochyra & Ochyra","Racomitrium patagonicum","Bedn.-Ochyra & Ochyra"
"Radula","Radula borneensis","Steph.","Radula borneensis","Steph."
"Garckea","Garckea mathieui","Thér.","Garckea mathieui","Thér."
"Holomitrium","Holomitrium borbonicum","Hampe ex Besch.","Holomitrium borbonicum","Hampe ex Besch."
"Schistidium","Schistidium submuticum ssp. arcticum","H.H.Blom","Schistidium submuticum ssp. arcticum","H.H.Blom"
"Garovaglia","Garovaglia plumosa","Herzog","Garovaglia plumosa","Herzog"
"Radula","Radula buccinifera","(Hook.f. & Taylor) Gottsche, Lindenb. & Nees","Radula buccinifera","(Hook.f. & Taylor) Gottsche, Lindenb. & Nees"
"Mitthyridium","Mitthyridium undulatum","(Dozy & Molk.) H.Rob.","Mitthyridium undulatum","(Dozy & Molk.) H.Rob."
"Macromitrium","Macromitrium tocaremae","Hampe","Macromitrium tocaremae","Hampe"
"Trichosteleum","Trichosteleum chrysophyllum","P.de la Varde","Trichosteleum chrysophyllum","P.de la Varde"
"Ditrichopsis","Ditrichopsis clausa","Broth.","Ditrichopsis clausa","Broth."
"Schistidium","Schistidium confertum","(Funck) Bruch & Schimp.","Grimmia apocarpa var. conferta","(Funck) Spreng."
"Heteroscyphus","Heteroscyphus polycladus","(Hook.f. & Lév.) R.M.Schust.","Heteroscyphus polycladus","(Hook.f. & Lév.) R.M.Schust."
"Radula","Radula lindbergiana","Gottsche ex C.Hartm.","Radula lindbergiana","Gottsche ex C.Hartm."
"Brachythecium","Brachythecium geheebii","Milde","Brachythecium geheebii","Milde"
"Tortella","Tortella spitsbergensis","(Bizot & Thér.) O.Werner, Köckinger & Ros","Trichostomum arcticum","Kaal."
"Marchantia","Marchantia vitiensis","Steph.","Marchantia vitiensis","Steph."
"Plagiomnium","Plagiomnium ellipticum","(Brid.) T.J.Kop.","Mnium affine var. rugicum","(Laurer) Bruch & Schimp."
"Fissidens","Fissidens sublineifolius","(P.de la Varde) Brugg.-Nann.","Fissidens sublineifolius","(P.de la Varde) Brugg.-Nann."
"Tricholepidozia","Tricholepidozia lindenbergii var. lindenbergii","","Tricholepidozia lindenbergii var. lindenbergii",""
"Macromitrium","Macromitrium retusum","Hook.f. & Wilson","Macromitrium retusum","Hook.f. & Wilson"
"Campylopus","Campylopus flagellifer","(Müll.Hal.) A.Jaeger","Campylopus flagellifer","(Müll.Hal.) A.Jaeger"
"Rosulabryum","Rosulabryum flaccidum","(Brid.) J.R.Spence","Rosulabryum flaccidum","(Brid.) J.R.Spence"
"Drepanolejeunea","Drepanolejeunea mosenii","(Steph.) Bischl.","Drepanolejeunea mosenii","(Steph.) Bischl."
"Pelekium","Pelekium involvens","(Hedw.) Touw","Cyrto-hypnum involvens","(Hedw.) W.R.Buck & H.A.Crum"
"Macromitrium","Macromitrium rhacomitrioides","Nog.","Macromitrium rhacomitrioides","Nog."
"Nardia","Nardia japonica","Steph.","Nardia japonica","Steph."
"Dilutineuron","Dilutineuron laevigatum","(A.Jaeger) Bedn.-Ochyra, Sawicki, Ochyra, Szczecińska & Plášek","Grimmia laevigata","Mitt."
"Trachypus","Trachypus longifolius","Nog.","Trachypus longifolius","Nog."
"Neoorthocaulis","Neoorthocaulis binsteadii","(Kaal.) L.Söderstr., De Roo & Hedd.","Neoorthocaulis binsteadii","(Kaal.) L.Söderstr., De Roo & Hedd."
"Porella","Porella cucullistipula","Steph.","Porella cucullistipula","Steph."
"Lejeunea","Lejeunea elongella","Gottsche","Lejeunea elongella","Gottsche"
"Radula","Radula sonsonensis","Steph.","Radula sonsonensis","Steph."
"Acrolejeunea","Acrolejeunea densifolia","Schiffner","Acrolejeunea densifolia","Schiffner"
"Didymodon","Didymodon laevigatus","(Mitt.) R.H.Zander","Didymodon laevigatus","(Mitt.) R.H.Zander"
"Lewinskya","Lewinskya fastigiata","(Bruch ex Brid.) Vigalondo, F.Lara & Garilleti","Lewinskya fastigiata","(Bruch ex Brid.) Vigalondo, F.Lara & Garilleti"
"Jungermannia","Jungermannia borgenii","Gottsche","Jungermannia borgenii","Gottsche"
"Zoopsidella","Zoopsidella antillana","(Steph.) H.Rob.","Zoopsidella antillana","(Steph.) H.Rob."
"Lejeunea","Lejeunea flava ssp. orientalis","R.M.Schust.","Lejeunea flava ssp. orientalis","R.M.Schust."
"Homalothecium","Homalothecium aeneum","(Mitt.) E.Lawton","Camptothecium aeneum var. robustum","Grout"
"Scapania","Scapania helvitica","Rabenh. & Gottsche","Scapania helvitica","Rabenh. & Gottsche"
"Triandrophyllum","Triandrophyllum heterophyllum","(Steph.) Grolle","Triandrophyllum heterophyllum","(Steph.) Grolle"
"Ditrichum","Ditrichum capillare","(Müll.Hal.) Paris","Ditrichum capillare","(Müll.Hal.) Paris"
"Hypnum","Hypnum wilhelmense","E.B.Bartram","Hypnum wilhelmense","E.B.Bartram"
"Hookeria","Hookeria janeirensis","Paris","Hookeria janeirensis","Paris"
"Ptychostomum","Ptychostomum cernuum","(Hedw.) Hornsch.","Bryum cernuum","(Hedw.) Bruch & Schimp."
"Acaulon","Acaulon leucochaete","I.G.Stone","Acaulon leucochaete","I.G.Stone"
"Exostratum","Exostratum sullivantii","(Dozy & Molk.) L.T.Ellis","Exostratum sullivantii","(Dozy & Molk.) L.T.Ellis"
"Rhaphidorrhynchium","Rhaphidorrhynchium gabonense","Broth. & P.de la Varde","Rhaphidorrhynchium gabonense","Broth. & P.de la Varde"
"Hamatocaulis","Hamatocaulis vernicosus","(Mitt.) Hedenäs","Scorpidium vernicosum","(Mitt.) Tuom."
"Triandrophyllum","Triandrophyllum fernandeziense","(S.W.Arnell) Grolle ex Fulford & Hatcher","Triandrophyllum fernandeziense","(S.W.Arnell) Grolle ex Fulford & Hatcher"
"Calypogeia","Calypogeia apiculata","(Steph.) Steph.","Calypogeia apiculata","(Steph.) Steph."
"Frullania","Frullania tricarinata","Sande Lac.","Frullania tricarinata","Sande Lac."
"Mastigolejeunea","Mastigolejeunea volkensii","Steph.","Mastigolejeunea volkensii","Steph."
"Sematophyllum","Sematophyllum admixtum","(Sull.) Mitt.","Sematophyllum admixtum","(Sull.) Mitt."
"Harpalejeunea","Harpalejeunea longibracteata","(Spruce) Steph.","Harpalejeunea longibracteata","(Spruce) Steph."
"Vesicularia","Vesicularia flaccida","(Sull. & Lesq.) Z.Iwats.","Vesicularia flaccida","(Sull. & Lesq.) Z.Iwats."
"Barbella","Barbella kurzii","(Bosch & Sande Lac.) M.Fleisch.","Barbella kurzii","(Bosch & Sande Lac.) M.Fleisch."
"Gymnomitrion","Gymnomitrion crenatilobum","Grolle","Gymnomitrion crenatilobum","Grolle"
"Plagiochila","Plagiochila wilhelmina","Inoue","Plagiochila wilhelmina","Inoue"
"Syzygiella","Syzygiella burghardtii","Gradst. & A.R.Benitez","Syzygiella burghardtii","Gradst. & A.R.Benitez"
"Distichophyllum","Distichophyllum gracile","Ångstr.","Distichophyllum gracile","Ångstr."
"Bryum","Bryum stenophyllum","Dixon","Bryum stenophyllum","Dixon"
"Erythrophyllopsis","Erythrophyllopsis perlaticosta","M.J.Cano & J.A.Jiménez","Erythrophyllopsis perlaticosta","M.J.Cano & J.A.Jiménez"
"Cephaloziopsis","Cephaloziopsis intertexta","Gottsche","Cephaloziopsis intertexta","Gottsche"
"Symblepharis","Symblepharis crispifolia","(Mitt.) Fedosov, M.Stech & Ignatov","Symblepharis crispifolia","(Mitt.) Fedosov, M.Stech & Ignatov"
"Cololejeunea","Cololejeunea schwabei","Herzog","Cololejeunea schwabei","Herzog"
"Bartramia","Bartramia marionensis","Mitt.","Bartramia marionensis","Mitt."
"Sphagnum","Sphagnum carolinianum","R.E.Andrus","Sphagnum subsecundum var. carolinianum","(R.E.Andrus) H.A.Crum"
"Trichosteleum","Trichosteleum patens","Besch.","Trichosteleum patens","Besch."
"Hypopterygium","Hypopterygium lutescens","Hornsch.","Hypopterygium lutescens","Hornsch."
"Ptychomitrium","Ptychomitrium sellowianum var. sellowianum","","Ptychomitrium sellowianum var. sellowianum",""
"Imbribryum","Imbribryum alpinum","(Huds. ex With.) N.Pedersen","Bryum laurentianum","Cardot & Thér."
"Bartramia","Bartramia thelioides","Müll.Hal.","Bartramia thelioides","Müll.Hal."
"Rhynchostegium","Rhynchostegium murale var. murale","","Rhynchostegium murale var. murale",""
"Brachymenium","Brachymenium brevicarpum","Ochi & Streimann","Brachymenium brevicarpum","Ochi & Streimann"
"Calypogeia","Calypogeia asakawana","S.Hatt. ex Inoue","Calypogeia asakawana","S.Hatt. ex Inoue"
"Mesoptychia","Mesoptychia badensis","(Gottsche ex Rabenh.) L.Söderstr. & Váňa","Lophozia badensis var. apiculata","R.M.Schust."
"Camptochaete","Camptochaete monolina","Meagher & A.Cairns","Camptochaete monolina","Meagher & A.Cairns"
"Fabronia","Fabronia leikipiae var. ahaggarensis","Thér. & Trab.","Fabronia leikipiae var. ahaggarensis","Thér. & Trab."
"Stereophyllum","Stereophyllum bremondii","Thér. & P.de la Varde","Stereophyllum bremondii","Thér. & P.de la Varde"
"Fissidens","Fissidens integrifolius","Schimp. ex Müll.Hal.","Fissidens integrifolius","Schimp. ex Müll.Hal."
"Sciuro-hypnum","Sciuro-hypnum populeum","(Hedw.) Ignatov & Huttunen","Brachythecium populeum","(Hedw.) Br.Eur."
"Bryoerythrophyllum","Bryoerythrophyllum recurvirostrum","(Hedw.) P.C.Chen","Bryoerythrophyllum recurvirostrum","(Hedw.) P.C.Chen"
"Grimmia","Grimmia lisae","De Not.","Grimmia lisae","De Not."
"Weissia","Weissia squarrosa","(Nees & Hornsch.) Müll.Hal.","Weissia squarrosa","(Nees & Hornsch.) Müll.Hal."
"Sphagnum","Sphagnum quinquefarium","(Lindb.) Warnst.","Sphagnum quinquefarium","(Lindb.) Warnst."
"Oleolophozia","Oleolophozia perssonii","(H.Buch & S.W.Arnell) L.Söderstr., De Roo & Hedd.","Oleolophozia perssonii","(H.Buch & S.W.Arnell) L.Söderstr., De Roo & Hedd."
"Fissidens","Fissidens jonesii","Bizot ex Pócs","Fissidens jonesii","Bizot ex Pócs"
"Riccia","Riccia brasiliensis","Schiffn.","Riccia brasiliensis","Schiffn."
"Sphagnum","Sphagnum luzonense","Warnst.","Sphagnum luzonense","Warnst."
"Ectropothecium","Ectropothecium incubans","(Reinw. & Hornsch.) A.Jaeger","Ectropothecium incubans","(Reinw. & Hornsch.) A.Jaeger"
"Sphagnum","Sphagnum subtile","(Russow) Warnst.","Sphagnum subtile","(Russow) Warnst."
"Lejeunea","Lejeunea parva","(S.Hatt.) Mizut.","Lejeunea parva","(S.Hatt.) Mizut."
"Philonotis","Philonotis uncinata","(Schwägr.) Brid.","Philonotis uncinata var. glaucescens","(Hornsch.) Florsch."
"Homaliadelphus","Homaliadelphus targionianus","(Mitt.) Dixon & P.de la Varde","Homaliadelphus targionianus","(Mitt.) Dixon & P.de la Varde"
"Helicodontium","Helicodontium lanceolatum","(Hampe & Müll.Hal.) A.Jaeger","Helicodontium lanceolatum","(Hampe & Müll.Hal.) A.Jaeger"
"Fissidens","Fissidens bourgaeanus","Besch.","Fissidens bourgaeanus","Besch."
"Vinealobryum","Vinealobryum rubiginosum","(Mitt.) J.A.Jiménez & M.J.Cano","Didymodon vinealis var. rubiginosus","(Mitt.) R.H.Zander"
"Neckera","Neckera aequalifolia","Müll.Hal.","Neckera aequalifolia","Müll.Hal."
"Campylopus","Campylopus praetermissus","J.-P.Frahm","Campylopus praetermissus","J.-P.Frahm"
"Floribundaria","Floribundaria floribundula","(Müll.Hal.) M.Fleisch.","Floribundaria floribundula","(Müll.Hal.) M.Fleisch."
"Calymperes","Calymperes porrectum","Mitt.","Calymperes porrectum","Mitt."
"Tayloria","Tayloria stenophysata","(Herzog) A.K.Kop.","Tayloria stenophysata","(Herzog) A.K.Kop."
"Ulota","Ulota reptans","Mitt.","Ulota reptans","Mitt."
"Brachytheciastrum","Brachytheciastrum trachypodium","(Brid.) Ignatov & Huttunen","Brachytheciastrum trachypodium","(Brid.) Ignatov & Huttunen"
"Leucobryum","Leucobryum bistratosum","Broth.","Leucobryum bistratosum","Broth."
"Cyclodictyon","Cyclodictyon filicuspis","P.de la Varde","Cyclodictyon filicuspis","P.de la Varde"
"Plagiochila","Plagiochila chauviniana","Mont.","Plagiochila chauviniana","Mont."
"Levierella","Levierella neckeroides","(Griff.) O'Shea & Matcham","Levierella neckeroides","(Griff.) O'Shea & Matcham"
"Campylopus","Campylopus zygodonticarpus","(Müll.Hal.) Paris","Campylopus zygodonticarpus","(Müll.Hal.) Paris"
"Jaegerina","Jaegerina luzonensis","Broth.","Jaegerina luzonensis","Broth."
"Scapania","Scapania glaucocephala","(Taylor) Austin","Scapania glaucocephala","(Taylor) Austin"
"Dicranoloma","Dicranoloma kerguelense","(Müll.Hal.) Paris","Dicranoloma kerguelense","(Müll.Hal.) Paris"
"Sphagnum","Sphagnum khasianum","Mitt.","Sphagnum khasianum","Mitt."
"Fissidens","Fissidens pseudoplumosus","Bizot & Onr. ex Brugg.-Nann.","Fissidens pseudoplumosus","Bizot & Onr. ex Brugg.-Nann."
"Pogonatum","Pogonatum semipellucidum","(Hampe) Mitt.","Pogonatum semipellucidum","(Hampe) Mitt."
"Lepyrodontopsis","Lepyrodontopsis trichophylla","(Sw. ex Hedw.) Broth.","Lepyrodontopsis trichophylla","(Sw. ex Hedw.) Broth."
"Brachytheciastrum","Brachytheciastrum velutinum","(Hedw.) Ignatov & Huttunen","Brachythecium petrophilum","R.S.Williams"
"Mittenothamnium","Mittenothamnium megapelmatum","(Müll.Hal.) Cardot","Mittenothamnium megapelmatum","(Müll.Hal.) Cardot"
"Himantocladium","Himantocladium implanum","(Mitt.) M.Fleisch.","Himantocladium implanum","(Mitt.) M.Fleisch."
"Telaranea","Telaranea azorica","(H.Buch & Perss.) Pócs ex Schumacker & Váňa","Telaranea azorica","(H.Buch & Perss.) Pócs ex Schumacker & Váňa"
"Notothylas","Notothylas decurva","(Mitt.) Steph.","Notothylas decurva","(Mitt.) Steph."
"Fissidens","Fissidens ornatus","Herzog","Fissidens ornatus","Herzog"
"Sematophyllum","Sematophyllum prominulum","Mitt.","Sematophyllum prominulum","Mitt."
"Cephalozia","Cephalozia lucens","(A.Evans) Steph.","Cephalozia lucens","(A.Evans) Steph."
"Schistochila","Schistochila quadrifida","A.Evans","Schistochila quadrifida","A.Evans"
"Holomitrium","Holomitrium obliquum","E.S.Salmon","Holomitrium obliquum","E.S.Salmon"
"Pycnolejeunea","Pycnolejeunea porrectilobula","C.J.Bastos & O.Yano","Pycnolejeunea porrectilobula","C.J.Bastos & O.Yano"
"Symphyogyna","Symphyogyna aspera","Steph. ex F.A.McCormick","Symphyogyna aspera","Steph. ex F.A.McCormick"
"Micromitrium","Micromitrium synoicum","(James) Austin","Micromitrium synoicum","(James) Austin"
"Isopterygiopsis","Isopterygiopsis catagonioides","(Broth.) Ignatov & Ignatova","Isopterygiopsis catagonioides","(Broth.) Ignatov & Ignatova"
"Treubia","Treubia lacunosa","(Colenso) Prosk.","Treubia lacunosa","(Colenso) Prosk."
"Zygodon","Zygodon subsquarrosus","Broth. ex Malta","Zygodon subsquarrosus","Broth. ex Malta"
"Marchantia","Marchantia longii","R.L.Zhu, You L.Xiang & L.Shu","Marchantia longii","R.L.Zhu, You L.Xiang & L.Shu"
"Calypogeia","Calypogeia sinensis","Bakalin & Buczk.","Calypogeia sinensis","Bakalin & Buczk."
"Plagiothecium","Plagiothecium fallax","Cardot & Thér.","Plagiothecium cavifolium var. fallax","(Cardot & Thér.) Z.Iwats."
"Diplophyllum","Diplophyllum nanum","Herzog","Diplophyllum nanum","Herzog"
"Macromitrium","Macromitrium onraedtii","Bizot","Macromitrium onraedtii","Bizot"
"Dawsonia","Dawsonia pullei","M.Fleisch. & Reimers","Dawsonia pullei","M.Fleisch. & Reimers"
"Pallavicinia","Pallavicinia rubristipa","Schiffn.","Pallavicinia rubristipa","Schiffn."
"Pylaisia","Pylaisia obtusa","Lindb.","Pylaisia obtusa","Lindb."
"Lophoziopsis","Lophoziopsis propagulifera","(Gottsche) Konstant. & Vilnet","Lophoziopsis propagulifera","(Gottsche) Konstant. & Vilnet"
"Lescuraea","Lescuraea ramuligera","(Mitt.) R.S.Chopra","Lescuraea ramuligera","(Mitt.) R.S.Chopra"
"Luisierella","Luisierella barbula","(Schwägr.) Steere","Desmatodon barbula","(Schwägr.) Grout"
"Radula","Radula protensa var. erectilobula","Schiffn.","Radula protensa var. erectilobula","Schiffn."
"Lophocolea","Lophocolea perpusilla","(Hook.f. & Taylor) Gottsche, Lindenb. & Nees","Lophocolea perpusilla","(Hook.f. & Taylor) Gottsche, Lindenb. & Nees"
"Aptychopsis","Aptychopsis pycnodonta","Herzog","Aptychopsis pycnodonta","Herzog"
"Isopterygium","Isopterygium taylorii","Sim","Isopterygium taylorii","Sim"
"Cololejeunea","Cololejeunea floccosa var. aurita","Benedix","Cololejeunea floccosa var. aurita","Benedix"
"Mastopoma","Mastopoma armitii var. deningeri","(Herzog) B.C.Tan, T.J.Kop. & D.H.Norris","Mastopoma armitii var. deningeri","(Herzog) B.C.Tan, T.J.Kop. & D.H.Norris"
"Acroporium","Acroporium prionophylax","W.R.Buck","Acroporium prionophylax","W.R.Buck"
"Jungermannia","Jungermannia longiretis","Besch. & Spruce","Jungermannia longiretis","Besch. & Spruce"
"Anthoceros","Anthoceros macrosporus","Steph.","Anthoceros macrosporus","Steph."
"Bryum","Bryum auratum","Mitt.","Bryum filiforme","(Griff.) Mitt."
"Weissia","Weissia occidentalis","(Flowers) A.H.Stoneb.","Weissia occidentalis","(Flowers) A.H.Stoneb."
