"acgenus","actaxon","acauth","taxon","auth"
"Cheilolejeunea","Cheilolejeunea acanthina","(Spruce) Gradst. & Ilk.-Borg.","Cheilolejeunea acanthina","(Spruce) Gradst. & Ilk.-Borg."
"Pylaisaea","Pylaisaea entodontea","Müll.Hal.","Pylaisaea entodontea","Müll.Hal."
"Cyclodictyon","Cyclodictyon richardsii","F.D.Bowers & Magill","Cyclodictyon richardsii","F.D.Bowers & Magill"
"Petalophyllum","Petalophyllum americanum","C.H.Ford & Crand.-Stotl.","Petalophyllum americanum","C.H.Ford & Crand.-Stotl."
"Syzygiella","Syzygiella ovalifolia","Inoue","Syzygiella ovalifolia","Inoue"
"Campylostelium","Campylostelium strictum","Solms","Campylostelium strictum","Solms"
"Dicranum","Dicranum brevifolium","(Lindb.) Lindb.","Dicranum muehlenbeckii var. brevifolium","Lindb."
"Cheilolejeunea","Cheilolejeunea convexa","(S.W.Arnell) S.W.Arnell","Cheilolejeunea convexa","(S.W.Arnell) S.W.Arnell"
"Radula","Radula lindenbergiana","Gottsche ex C.Hartm.","Radula complanata ssp. lindenbergiana","(Gottsche ex C.Hartm.) R.M.Schust."
"Plagiothecium","Plagiothecium entodontella","Broth. ex Dixon","Plagiothecium entodontella","Broth. ex Dixon"
"Lescuraea","Lescuraea brachyclados","(Schwägr.) Kindb.","Pseudoleskea brachyclados","(Schwägr.) Kindb."
"Vesicularia","Vesicularia sarcoblasta","(Broth.) Broth.","Vesicularia sarcoblasta","(Broth.) Broth."
"Philonotis","Philonotis leptocarpa","Mitt.","Philonotis leptocarpa","Mitt."
"Breutelia","Breutelia tenuifolia","(Mitt.) Paris","Breutelia tenuifolia","(Mitt.) Paris"
"Bazzania","Bazzania hainanensis","L.P.Zhou & Li Zhang","Bazzania hainanensis","L.P.Zhou & Li Zhang"
"Archidium","Archidium minus","(Renauld & Cardot) Snider","Archidium hallii var. minus","Renauld & Cardot"
"Lejeunea","Lejeunea hui","R.L.Zhu","Lejeunea hui","R.L.Zhu"
"Andreaea","Andreaea fragilis","Müll.Hal.","Andreaea fragilis","Müll.Hal."
"Acrolejeunea","Acrolejeunea pycnoclada ssp. latistipula","Gradst.","Acrolejeunea pycnoclada ssp. latistipula","Gradst."
"Cheilolejeunea","Cheilolejeunea longispina","(Herzog) R.M.Schust.","Cheilolejeunea longispina","(Herzog) R.M.Schust."
"Papillaria","Papillaria guarapiensis","Besch.","Papillaria guarapiensis","Besch."
"Trismegistia","Trismegistia panduriformis var. panduriformis","","Trismegistia panduriformis var. panduriformis",""
"Rhynchostegiella","Rhynchostegiella smithii","E.B.Bartram","Rhynchostegiella smithii","E.B.Bartram"
"Streblotrichum","Streblotrichum convolutum","(Hedw.) P.Beauv.","Barbula convoluta var. obtusata","Artr. & Loeske"
"Orthotrichum","Orthotrichum diaphanum","Schrad. ex Brid.","Orthotrichum garrettii","Grout & Flowers"
"Cololejeunea","Cololejeunea hamata","Steph.","Cololejeunea hamata","Steph."
"Thuidium","Thuidium paraguense","Besch.","Thuidium paraguense","Besch."
"Radula","Radula curvilobula","M.L.So","Radula curvilobula","M.L.So"
"Meiothecium","Meiothecium chlorocladum var. intermedium","Thér.","Meiothecium chlorocladum var. intermedium","Thér."
"Stereophyllum","Stereophyllum laxirete","Broth. & P.de la Varde","Stereophyllum laxirete","Broth. & P.de la Varde"
"Trichostomopsis","Trichostomopsis challaensis","(Broth.) R.H.Zander","Trichostomopsis challaensis","(Broth.) R.H.Zander"
"Leptohymenium","Leptohymenium sharpii","(H.A.Crum & L.E.Anderson) W.R.Buck & H.A.Crum","Mittenothamnium sharpii","(H.A.Crum & L.E.Anderson) W.R.Buck"
"Bryum","Bryum stellituber","Arts","Bryum stellituber","Arts"
"Fissidens","Fissidens alomoides","Müll.Hal. ex Dusén","Fissidens alomoides","Müll.Hal. ex Dusén"
"Andreaea","Andreaea rupestris","Hedw.","Andreaea parvifolia","Müll.Hal."
