"ELEMENT_GLOBAL_ID","REFERENCE_ID"
684320,181797
689212,722172
685740,667326
687455,646784
686798,199222
687680,199164
686561,201584
686561,645701
686561,667321
686561,667326
685185,199040
685185,374772
686707,192047
686707,195755
686707,667764
689532,645701
687791,178774
687791,199046
687791,645937
683912,181492
688836,181492
689124,184043
689124,194660
686193,192831
686240,184937
685997,184460
685997,193079
685997,505300
685877,192574
684389,189355
684389,196788
684389,198664
687489,181873
687489,659455
687489,994683
685294,184018
685294,186807
685294,198664
687962,181852
686896,178990
686896,200591
686896,342646
685969,189355
685743,181797
685743,190602
685743,340416
689207,176722
689207,177793
689207,190505
687132,503093
683796,181797
688213,192649
687713,179532
687713,184460
687713,189355
684633,181797
684633,506839
686505,199829
686505,506839
688683,181797
688683,181852
688683,181873
688683,506839
688595,646797
684104,473037
684104,722172
686290,646797
686290,722172
684203,185610
688257,473037
688258,646797
687065,181797
687065,186666
684134,1006897
688747,182314
688747,182755
688747,182970
688747,192906
688747,193338
688747,194609
688747,194660
688747,195765
688747,197856
688747,198812
684130,176838
684130,180424
684130,187091
684130,197856
686840,181492
686840,707490
687597,182755
683060,179997
683060,185914
683060,756930
687661,181492
687661,707495
685183,182799
689963,176838
689963,181492
689963,181932
689027,641997
686619,179360
686619,195678
686619,1009323
685736,181797
685736,182375
685736,200873
685736,201226
685736,321625
685736,478087
690047,181521
690047,659444
687812,192936
687812,198274
687812,659444
687812,671636
685216,178240
685216,188295
689227,1009323
684526,181797
684526,183291
684526,185116
684526,667218
687060,187897
683509,184460
687221,184460
689680,176226
684649,184664
684649,340416
684310,478087
686574,503093
684525,179532
684525,200873
687449,179532
687449,181950
687449,186807
687449,342646
687449,650542
687326,181797
685015,200873
685015,342646
685016,181950
685016,184460
685016,200873
685042,181797
685042,189355
685042,659456
686673,650541
685620,183959
685620,191381
683625,181797
688881,181852
688881,184460
685619,184460
685902,646797
687143,185484
687143,191381
687143,646797
687143,722172
687848,671265
688124,181797
684940,183626
688344,181797
686560,194484
684442,187188
685448,321625
686177,179146
686177,186877
686177,820428
689656,196846
689656,671254
683300,321625
683193,181797
683193,184460
683163,181797
683472,473037
687844,193529
688002,473037
683921,176120
683713,641997
688011,188415
688494,645765
683815,181060
683815,188004
686766,175667
686094,196203
688937,187134
688937,279954
688406,181492
687752,187134
687752,196203
683143,176874
683143,181178
683143,757910
684626,189716
689842,187134
689843,181492
689843,182803
689843,187134
689119,178001
689119,184462
689119,668151
689648,182803
688120,185308
688120,667216
688120,667283
688120,810389
689900,645764
688272,181492
688272,678083
683637,189716
686413,182647
686413,194660
688575,182647
684185,215387
687165,200338
687165,645764
688578,182803
688578,641997
689367,678083
683890,215387
684287,196836
686414,181060
686414,181178
688222,757910
683754,181492
685091,180341
685091,182314
685091,188004
684627,194160
686767,181178
686767,506855
687267,506855
687267,678083
686342,181060
683119,181492
685441,506855
684289,198812
688597,181492
688597,186201
